Country Name,Country Code,Longitude,Latitude,Population,Number of finishes in top 100,Normalised
Aruba,ABW,-69.968338,12.52111,107195,0,0
Afghanistan,AFG,67.709953,33.93911,39835428,0,0
Angola,AGO,17.873887,-11.202692,33933611,0,0
Albania,ALB,20.168331,41.153332,2811666,0,0
Andorra,AND,1.601554,42.546245,77354,0,0
United Arab Emirates,ARE,53.847818,23.424076,9991083,0,0
Argentina,ARG,-63.616672,-38.416097,45808747,0,0
Armenia,ARM,45.038189,40.069099,2968128,0,0
American Samoa,ASM,-170.132217,-14.270972,55103,0,0
Antigua and Barbuda,ATG,-61.796428,17.060816,98728,0,0
Australia,AUS,133.775136,-25.274398,25739256,27,10.48981369
Austria,AUT,14.550072,47.516231,8956279,0,0
Azerbaijan,AZE,47.576927,40.143105,10145212,0,0
Burundi,BDI,29.918886,-3.373056,12255429,0,0
Belgium,BEL,4.469936,50.503887,11587882,0,0
Benin,BEN,2.315834,9.30769,12451031,0,0
Burkina Faso,BFA,-1.561593,12.238333,21497097,0,0
Bangladesh,BGD,90.356331,23.684994,166303494,0,0
Bulgaria,BGR,25.48583,42.733883,6899125,0,0
Bahrain,BHR,50.637772,25.930414,1748295,0,0
Bosnia and Herzegovina,BIH,17.679076,43.915886,3263459,0,0
Belarus,BLR,27.953389,53.709807,9340314,0,0
Belize,BLZ,-88.49765,17.189877,404915,0,0
Bermuda,BMU,-64.75737,32.321384,63867,0,0
Bolivia,BOL,-63.588653,-16.290154,11832936,0,0
Brazil,BRA,-51.92528,-14.235004,213993441,0,0
Barbados,BRB,-59.543198,13.193887,287708,1,34.75746243
Bhutan,BTN,90.433601,27.514162,779900,0,0
Botswana,BWA,24.684866,-22.328474,2397240,0,0
Central African Republic,CAF,20.939444,6.611111,4919987,0,0
Canada,CAN,-106.346771,56.130366,38246108,68,17.77958688
Switzerland,CHE,8.227512,46.818188,8697723,0,0
Chile,CHL,-71.542969,-35.675147,19212362,0,0
China,CHN,104.195397,35.86166,1412360000,0,0
Cameroon,CMR,12.354722,7.369722,27224262,0,0
Colombia,COL,-74.297333,4.570868,51265841,7,1.365431614
Comoros,COM,43.872219,-11.875001,888456,0,0
Costa Rica,CRI,-83.753428,9.748917,5139053,0,0
Cuba,CUB,-77.781167,21.521757,11317498,0,0
Cayman Islands,CYM,-80.566956,19.513469,66498,0,0
Cyprus,CYP,33.429859,35.126413,1215588,0,0
Czech Republic,CZE,15.472962,49.817492,10703446,0,0
Germany,DEU,10.451526,51.165691,83129285,3,0.360883652
Djibouti,DJI,42.590275,11.825138,1002197,0,0
Dominica,DMA,-61.370976,15.414999,72172,0,0
Denmark,DNK,9.501785,56.26392,5856733,1,1.707436552
Dominican Republic,DOM,-70.162651,18.735693,10953714,0,0
Algeria,DZA,1.659626,28.033886,44616626,0,0
Ecuador,ECU,-78.183406,-1.831239,17888474,0,0
Eritrea,ERI,39.782334,15.179384,,0,0
Spain,ESP,-3.74922,40.463667,47326687,4,0.8451891
Estonia,EST,25.013607,58.595272,1329254,0,0
Ethiopia,ETH,40.489673,9.145,117876226,0,0
Finland,FIN,25.748151,61.92411,5541696,0,0
Fiji,FJI,179.414413,-16.578193,902899,0,0
France,FRA,2.213749,46.227638,67499343,11,1.629645492
Faroe Islands,FRO,-6.911806,61.892635,49053,0,0
Gabon,GAB,11.609444,-0.803689,2278829,0,0
United Kingdom,GBR,-3.435973,55.378051,67326569,149,22.13093615
Georgia,GEO,43.356892,42.315407,3708610,0,0
Ghana,GHA,-1.023194,7.946527,31732128,0,0
Gibraltar,GIB,-5.345374,36.137741,33691,0,0
Guinea,GIN,-9.696645,9.945587,13497237,0,0
Guinea-Bissau,GNB,-15.180413,11.803749,2015490,0,0
Equatorial Guinea,GNQ,10.267895,1.650801,1449891,0,0
Greece,GRC,21.824312,39.074208,10664568,0,0
Grenada,GRD,-61.604171,12.262776,113015,0,0
Greenland,GRL,-42.604303,71.706936,56653,0,0
Guatemala,GTM,-90.230759,15.783471,17109746,0,0
Guam,GUM,144.793731,13.444304,170184,0,0
Guyana,GUY,-58.93018,4.860416,790329,0,0
Honduras,HND,-86.241905,15.199999,10062994,0,0
Croatia,HRV,15.2,45.1,3899000,0,0
Haiti,HTI,-72.285215,18.971187,11541683,0,0
Hungary,HUN,19.503304,47.162494,9709886,0,0
Indonesia,IDN,113.921327,-0.789275,276361788,0,0
Isle of Man,IMN,-4.548056,54.236107,85410,0,0
India,IND,78.96288,20.593684,1393409033,0,0
Ireland,IRL,-8.24389,53.41291,5028230,9,17.89894257
Iraq,IRQ,43.679291,33.223191,41179351,0,0
Iceland,ISL,-19.020835,64.963051,372295,1,26.86041983
Israel,ISR,34.851612,31.046051,9364000,0,0
Italy,ITA,12.56738,41.87194,59066225,4,0.677205967
Jamaica,JAM,-77.297508,18.109581,2973462,7,23.54158217
Jordan,JOR,36.238414,30.585164,10269022,0,0
Japan,JPN,138.252924,36.204824,125681593,0,0
Kazakhstan,KAZ,66.923684,48.019573,19002586,0,0
Kenya,KEN,37.906193,-0.023559,54985702,0,0
Cambodia,KHM,104.990963,12.565679,16946446,0,0
Kiribati,KIR,-168.734039,-3.370417,121388,0,0
South Korea,KOR,127.766922,35.907757,51744876,8,1.546046801
Kuwait,KWT,47.481766,29.31166,4328553,0,0
Lebanon,LBN,35.862285,33.854721,6769151,0,0
Liberia,LBR,-9.429499,6.428055,5180208,0,0
Libya,LBY,17.228331,26.3351,6958538,0,0
Liechtenstein,LIE,9.555373,47.166,38254,0,0
Sri Lanka,LKA,80.771797,7.873054,22156000,0,0
Lesotho,LSO,28.233608,-29.609988,2159067,0,0
Lithuania,LTU,23.881275,55.169438,2795321,0,0
Luxembourg,LUX,6.129583,49.815273,639070,0,0
Latvia,LVA,24.603189,56.879635,1883162,0,0
Morocco,MAR,-7.09262,31.791702,37344787,2,0.535549982
Monaco,MCO,7.412841,43.750298,39520,0,0
Moldova,MDA,28.369885,47.411631,2573928,0,0
Madagascar,MDG,46.869107,-18.766947,28427333,0,0
Maldives,MDV,73.22068,3.202778,543620,0,0
Mexico,MEX,-102.552784,23.634501,130262220,3,0.230304688
Marshall Islands,MHL,171.184478,7.131474,59618,0,0
Mali,MLI,-3.996166,17.570692,20855724,0,0
Malta,MLT,14.375416,35.937496,516869,0,0
Montenegro,MNE,19.37439,42.708678,620173,0,0
Mongolia,MNG,103.846656,46.862496,3329282,0,0
Northern Mariana Islands,MNP,145.38469,17.33083,57910,0,0
Mozambique,MOZ,35.529562,-18.665695,32163045,0,0
Mauritania,MRT,-10.940835,21.00789,4775110,0,0
Mauritius,MUS,57.552152,-20.348404,1266060,0,0
Malawi,MWI,34.301525,-13.254308,19647681,0,0
Malaysia,MYS,101.975766,4.210484,32776195,0,0
Namibia,NAM,18.49041,-22.95764,2587344,0,0
New Caledonia,NCL,165.618042,-20.904305,272620,0,0
Niger,NER,8.081666,17.607789,25130810,0,0
Nigeria,NGA,8.675277,9.081999,211400704,0,0
Nicaragua,NIC,-85.207229,12.865416,6702379,0,0
Netherlands,NLD,5.291266,52.132633,17533405,0,0
Norway,NOR,8.468946,60.472024,5408320,1,1.849003018
Nepal,NPL,84.124008,28.394857,29674920,0,0
Nauru,NRU,166.931503,-0.522778,10873,0,0
New Zealand,NZL,174.885971,-40.900557,5122600,2,3.904267364
Oman,OMN,55.923255,21.512583,5223376,0,0
Pakistan,PAK,69.345116,30.375321,225199929,0,0
Panama,PAN,-80.782127,8.537981,4381583,0,0
Peru,PER,-75.015152,-9.189967,33359416,0,0
Philippines,PHL,121.774017,12.879721,111046910,0,0
Palau,PLW,134.58252,7.51498,18174,0,0
Papua New Guinea,PNG,143.95555,-6.314993,9119005,0,0
Poland,POL,19.145136,51.919438,37781024,0,0
Puerto Rico,PRI,-66.590149,18.220833,3263584,12,36.76939218
Portugal,PRT,-8.224454,39.399872,10299423,0,0
Paraguay,PRY,-58.443832,-23.442503,7219641,0,0
French Polynesia,PYF,-149.406843,-17.679742,282534,0,0
Qatar,QAT,51.183884,25.354826,2930524,0,0
Romania,ROU,24.96676,45.943161,19115146,0,0
Rwanda,RWA,29.873888,-1.940278,13276517,0,0
Saudi Arabia,SAU,45.079162,23.885942,35340680,0,0
Sudan,SDN,30.217636,12.862807,44909351,0,0
Senegal,SEN,-14.452362,14.497401,17196308,1,0.581520173
Singapore,SGP,103.819836,1.352083,5453566,0,0
Solomon Islands,SLB,160.156194,-9.64571,703995,0,0
Sierra Leone,SLE,-11.779889,8.460555,8141343,0,0
El Salvador,SLV,-88.89653,13.794185,6518500,0,0
San Marino,SMR,12.457777,43.94236,34010,0,0
Somalia,SOM,46.199616,5.152149,16359500,0,0
Serbia,SRB,21.005859,44.016521,6844078,0,0
Suriname,SUR,-56.027783,3.919305,591798,0,0
Slovenia,SVN,14.995463,46.151241,2107007,0,0
Sweden,SWE,18.643501,60.128161,10415811,6,5.760473188
Seychelles,SYC,55.491977,-4.679574,99202,0,0
Turks and Caicos Islands,TCA,-71.797928,21.694025,39226,0,0
Chad,TCD,18.732207,15.454166,16914985,0,0
Togo,TGO,0.824782,8.619543,8478242,0,0
Thailand,THA,100.992541,15.870032,69950844,0,0
Tajikistan,TJK,71.276093,38.861034,9749625,0,0
Turkmenistan,TKM,59.556278,38.969719,6117933,0,0
Timor-Leste,TLS,125.727539,-8.874217,1343875,0,0
Tonga,TON,-175.198242,-21.178986,106759,0,0
Trinidad and Tobago,TTO,-61.222503,10.691803,1403374,0,0
Tunisia,TUN,9.537499,33.886917,11935764,0,0
Tuvalu,TUV,177.64933,-7.109535,11925,0,0
Tanzania,TZA,34.888822,-6.369028,61498438,0,0
Uganda,UGA,32.290275,1.373333,47123533,0,0
Ukraine,UKR,31.16558,48.379433,43814581,0,0
Uruguay,URY,-55.765835,-32.522779,3485152,0,0
USA,USA,-95.712891,37.09024,331893745,1071,32.2693638
Uzbekistan,UZB,64.585262,41.377491,34915100,0,0
Vietnam,VNM,108.277199,14.058324,98168829,0,0
Vanuatu,VUT,166.959158,-15.376706,314464,0,0
Samoa,WSM,-172.104629,-13.759029,200144,0,0
Kosovo,XKX,20.902977,42.602636,1806279,0,0
South Africa,ZAF,22.937506,-30.559482,60041996,0,0
Zambia,ZMB,27.849332,-13.133897,18920657,0,0
Zimbabwe,ZWE,29.154857,-19.015438,15092171,0,0
